x: 8.826573, y: 4.173427
x: 8.832090, y: 4.167910
x: 8.837481, y: 4.162519
x: 8.842750, y: 4.157250
x: 8.847902, y: 4.152098
x: 8.852938, y: 4.147062
x: 8.857862, y: 4.142138
x: 8.862678, y: 4.137322
x: 8.867387, y: 4.132613
x: 8.871993, y: 4.128007
x: 8.876498, y: 4.123502
x: 8.880905, y: 4.119095
x: 8.885217, y: 4.114783
x: 8.889434, y: 4.110566
x: 8.893561, y: 4.106439
x: 8.897598, y: 4.102402
x: 8.901547, y: 4.098453
x: 8.905410, y: 4.094590
x: 8.909189, y: 4.090811
x: 8.912885, y: 4.087115
x: 8.916499, y: 4.083501
x: 8.920032, y: 4.079968
x: 8.923485, y: 4.076515
x: 8.926860, y: 4.073140
x: 8.930156, y: 4.069844
x: 8.933374, y: 4.066626
x: 8.936516, y: 4.063484
x: 8.939580, y: 4.060420
x: 8.942568, y: 4.057432
x: 8.945478, y: 4.054522
x: 8.948313, y: 4.051687
x: 8.951070, y: 4.048930
x: 8.953750, y: 4.046250
x: 8.956354, y: 4.043646
x: 8.958879, y: 4.041121
x: 8.961326, y: 4.038674
x: 8.963696, y: 4.036304
x: 8.965986, y: 4.034014
x: 8.968197, y: 4.031803
x: 8.970328, y: 4.029672
x: 8.972379, y: 4.027621
x: 8.974350, y: 4.025650
x: 8.976240, y: 4.023760
x: 8.978050, y: 4.021950
x: 8.979778, y: 4.020222
x: 8.981425, y: 4.018575
x: 8.982992, y: 4.017008
x: 8.984478, y: 4.015522
x: 8.985884, y: 4.014116
x: 8.987210, y: 4.012790
x: 8.988458, y: 4.011542
x: 8.989628, y: 4.010372
x: 8.990722, y: 4.009278
x: 8.991741, y: 4.008259
x: 8.992686, y: 4.007314
x: 8.993559, y: 4.006441
x: 8.994362, y: 4.005638
x: 8.995097, y: 4.004903
x: 8.995768, y: 4.004232
x: 8.996375, y: 4.003625
x: 8.996922, y: 4.003078
x: 8.997411, y: 4.002589
x: 8.997846, y: 4.002154
x: 8.998229, y: 4.001771
x: 8.998564, y: 4.001436
x: 8.998853, y: 4.001147
x: 8.999101, y: 4.000899
x: 8.999310, y: 4.000690
x: 8.999483, y: 4.000517
x: 8.999624, y: 4.000376
x: 8.999737, y: 4.000263
x: 8.999825, y: 4.000175
x: 8.999890, y: 4.000110
x: 8.999937, y: 4.000063
x: 8.999968, y: 4.000032
x: 8.999986, y: 4.000014
x: 8.999996, y: 4.000004
x: 8.999999, y: 4.000001
